Lap	RaceNumber	Time	Gap
1	99	1'37.122
1	93	1'37.318	0.196
1	26	1'37.473	0.351
1	29	1'37.907	0.785
1	4	1'38.267	1.145
1	41	1'38.663	1.541
1	9	1'39.274	2.152
1	44	1'39.349	2.227
1	38	1'39.508	2.386
1	6	1'39.907	2.785
1	51	1'40.126	3.004
1	19	1'40.611	3.489
1	69	1'40.848	3.726
1	68	1'40.900	3.778
1	46	1'40.982	3.860
1	76	1'41.531	4.409
1	25	1'41.840	4.718
1	43	1'41.980	4.858
1	45	1'42.294	5.172
1	63	1'42.618	5.496
1	50	1'42.688	5.566
1	13	1'42.818	5.696
1	8	1'42.865	5.743
1	35	1'43.181	6.059
1	24	1'43.182	6.060
1	23	1'43.710	6.588

2	99	1'31.416
2	93	1'31.538	0.318
2	26	1'31.590	0.525
2	29	1'31.491	0.860
2	4	1'32.041	1.770
2	41	1'32.121	2.246
2	44	1'32.401	3.212
2	9	1'32.648	3.384
2	38	1'32.633	3.603
2	51	1'33.140	4.728
2	6	1'33.812	5.181
2	46	1'32.782	5.226
2	19	1'33.407	5.480
2	68	1'33.250	5.612
2	69	1'33.710	6.020
2	76	1'33.265	6.258
2	25	1'33.098	6.400
2	43	1'33.427	6.869
2	45	1'33.353	7.109
2	50	1'33.836	7.986
2	13	1'34.106	8.386
2	35	1'33.836	8.479
2	63	1'34.600	8.680
2	8	1'34.424	8.751
2	24	1'34.580	9.224
2	23	1'34.359	9.531

3	99	1'31.367
3	93	1'31.491	0.442
3	26	1'31.581	0.739
3	4	1'32.297	2.700
3	41	1'32.394	3.273
3	44	1'32.373	4.218
3	9	1'32.385	4.402
3	38	1'32.366	4.602
3	46	1'31.997	5.856
3	51	1'32.884	6.245
3	6	1'33.301	7.115
3	19	1'33.593	7.706
3	68	1'33.632	7.877
3	69	1'33.670	8.323
3	76	1'33.648	8.539
3	25	1'33.773	8.806
3	43	1'33.587	9.089
3	45	1'33.479	9.221
3	35	1'32.943	10.055
3	50	1'33.636	10.255
3	13	1'33.858	10.877
3	63	1'34.016	11.329
3	8	1'34.063	11.447
3	24	1'34.222	12.079
3	23	1'34.672	12.836

4	99	1'31.502
4	93	1'31.474	0.414
4	26	1'31.705	0.942
4	4	1'32.653	3.851
4	41	1'32.553	4.324
4	44	1'32.820	5.536
4	9	1'32.855	5.755
4	38	1'32.915	6.015
4	46	1'31.820	6.174
4	51	1'32.895	7.638
4	6	1'33.263	8.876
4	68	1'33.154	9.529
4	19	1'33.386	9.590
4	69	1'33.105	9.926
4	76	1'33.437	10.474
4	25	1'33.264	10.568
4	43	1'33.448	11.035
4	45	1'33.495	11.214
4	35	1'32.956	11.509
4	50	1'33.500	12.253
4	8	1'33.132	13.077
4	13	1'34.190	13.565
4	63	1'34.126	13.953
4	24	1'34.097	14.674
4	23	1'34.706	16.040

5	99	1'31.542
5	93	1'31.455	0.327
5	26	1'31.858	1.258
5	4	1'32.662	4.971
5	41	1'32.502	5.284
5	44	1'32.488	6.482
5	9	1'33.160	7.373
5	38	1'33.043	7.516
5	46	1'33.021	7.653
5	51	1'32.957	9.053
5	6	1'33.273	10.607
5	68	1'32.776	10.763
5	19	1'33.379	11.427
5	69	1'33.351	11.735
5	25	1'33.403	12.429
5	76	1'33.890	12.822
5	35	1'33.143	13.110
5	43	1'33.872	13.365
5	45	1'33.953	13.625
5	50	1'33.616	14.327
5	8	1'32.944	14.479
5	63	1'33.820	16.231
5	13	1'34.243	16.266
5	24	1'34.273	17.405
5	23	1'34.635	19.133

6	99	1'31.554
6	93	1'31.782	0.555
6	26	1'31.559	1.263
6	4	1'33.076	6.493
6	41	1'32.952	6.682
6	44	1'32.695	7.623
6	9	1'32.878	8.697
6	46	1'32.724	8.823
6	38	1'33.099	9.061
6	51	1'33.451	10.950
6	68	1'33.466	12.675
6	6	1'33.636	12.689
6	19	1'33.343	13.216
6	69	1'33.309	13.490
6	25	1'33.079	13.954
6	35	1'32.728	14.284
6	76	1'34.032	15.300
6	43	1'33.899	15.710
6	45	1'35.126	17.197
6	50	1'34.595	17.368
6	8	1'34.534	17.459
6	63	1'34.076	18.753
6	13	1'34.271	18.983
6	24	1'34.310	20.161
6	23	1'34.713	22.292

7	99	1'31.483
7	93	1'31.586	0.658
7	26	1'31.982	1.762
7	4	1'32.762	7.772
7	41	1'32.866	8.065
7	44	1'32.660	8.800
7	46	1'32.078	9.418
7	38	1'32.483	10.061
7	9	1'33.651	10.865
7	51	1'33.162	12.629
7	68	1'33.116	14.308
7	6	1'33.747	14.953
7	19	1'33.352	15.085
7	69	1'33.527	15.534
7	25	1'33.190	15.661
7	35	1'33.244	16.045
7	76	1'33.955	17.772
7	43	1'33.878	18.105
7	45	1'33.664	19.378
7	50	1'34.097	19.982
7	8	1'34.062	20.038
7	63	1'33.792	21.062
7	13	1'34.294	21.794
7	24	1'34.083	22.761
7	23	1'35.087	25.896

8	99	1'31.746
8	93	1'31.762	0.674
8	26	1'31.931	1.947
8	4	1'33.018	9.044
8	41	1'32.811	9.130
8	44	1'32.599	9.653
8	46	1'32.306	9.978
8	38	1'32.537	10.852
8	9	1'32.862	11.981
8	51	1'33.373	14.256
8	68	1'33.199	15.761
8	6	1'33.623	16.830
8	19	1'33.625	16.964
8	69	1'33.391	17.179
8	25	1'33.332	17.247
8	35	1'33.120	17.419
8	76	1'33.550	19.576
8	43	1'33.787	20.146
8	45	1'33.532	21.164
8	8	1'33.151	21.443
8	50	1'33.818	22.054
8	63	1'34.162	23.478
8	13	1'34.107	24.155
8	24	1'33.759	24.774
8	23	1'35.131	29.281

9	99	1'31.700
9	93	1'31.691	0.665
9	26	1'31.983	2.230
9	4	1'32.528	9.872
9	41	1'32.904	10.334
9	44	1'32.545	10.498
9	46	1'32.362	10.640
9	38	1'32.564	11.716
9	9	1'32.937	13.218
9	51	1'33.272	15.828
9	68	1'33.006	17.067
9	6	1'33.533	18.663
9	19	1'33.731	18.995
9	25	1'33.550	19.097
9	35	1'33.480	19.199
9	69	1'34.219	19.698
9	76	1'33.530	21.406
9	43	1'33.641	22.087
9	45	1'33.399	22.863
9	8	1'33.469	23.212
9	50	1'33.548	23.902
9	63	1'33.977	25.755
9	24	1'33.805	26.879
9	13	1'34.723	27.178
